,Rent,House ID,Square meters house,Number of Bedrooms,Location,Description,rent_per_sqrmeter
110,1000,2110292797,115,2,Koukaki - Makrygianni (Athens - Center)," 24/12/2020 - KOUKAKI-MAKRUGIANNI, Apartment, 115 sq.m, year built 1975, renovated in 2020, 2 rooms, 4th,  Various Characteristics: availavble, balcony, built in ...                        ",8.695652174
111,730,2110468573,72,1,Hilton (Athens)," 24/12/2020 - ILISIA, Apartment, 72 sq.m, year built 1978, renovated in 2020, 1 rooms, 1st,  Various Characteristics: aluminium frames, balcony, bathroom with wi ...                        ",10.13888889
112,480,2110411567,70,2,Plateia Vathis (Athens), 24/12/2020 -  ,6.857142857
113,690,2110542912,45,1,Hilton (Athens), 24/12/2020 - *Price varies by duration of stay:     12+ month lease: 690 € /month     6 to 12 month lease: 730 € /month   2 to 6 month lease: 840 € /month     1 ...                        ,15.33333333
114,1020,2110512015,70,2,Mets - Kalimarmaro (Athens)," 24/12/2020 - *Price varies by duration of stay:     12+ month lease: 1,020 € /month     6 to 12 month lease: 1,080 € /month   2 to 6 month lease: 1,200 € /month ...                        ",14.57142857
115,600,219769077,100,1,Neapoli Exarcheion (Athens), 24/12/2020 -  ,6
116,1000,2110514767,87,2,Mets (Athens)," 24/12/2020 - Mets - Kalimarmaro to rent Apartment 87sq 2nd floor  construction year 1980  Refurbished  , consists of 1 living room 2 Bedrooms 1 kitchen 1 bathro ...                        ",11.49425287
117,750,2110463694,50,1,Kolonaki (Kolonaki - Lykavittos)," 24/12/2020 - KOLONAKI- CENTER. On Merlin Street and in the heart of Kolonaki, a fully furnished and equipped apartment of 50 sq.m. is for rent. Οpen plan with b ...                        ",15
118,2200,2110548595,165,3,Kolonaki (Kolonaki - Lykavittos)," 24/12/2020 - ALL FLOOR APARTMENT 165SQ.M ON THE 3RD FLOOR 3 BEDROOMS,2 FULL RENOVATED BATHROOMS,1 GUEST WC, 1 DINNING ROOM,1 LIVING ROOM,BIG NICE ENTRANCE HALL, ...                        ",13.33333333
119,880,2110025619,99,2,Kolonaki (Kolonaki - Lykavittos)," 23/12/2020 - Apartment for rent in Kolonaki, Kolonaki - Likavitos of Athens - Center (Listing No 3965). Another property brought to you by pinhouse. This 99 sqm ...                        ",8.888888889
120,670,2110517929,83,2,Hilton (Athens), 23/12/2020 -  ,8.072289157
121,500,2110511620,82,2,Osios Loukas (Athens)," 23/12/2020 - Athens, Patisia-Osios Loukas, Apartment For Rent, 82 sq.m., Property Status: Good, Floor: 4th, 2 Bedrooms 1 Kitchen(s), 1 Bathroom(s), Heating: Cen ...                        ",6.097560976
122,600,2110171120,107,3,Attiki (Athens)," 23/12/2020 - Athens, Attiki, Apartment For Rent, 107 sq.m., Property Status: Renovated, Floor: 5th, 3 Bedrooms 1 Kitchen(s), 1 Bathroom(s), 1 WC, Heating: Centr ...                        ",5.607476636
123,550,2110104845,91,2,Kipseli (Athens)," 23/12/2020 - Athens, Kypseli, Apartment For Rent, 91 sq.m., Property Status: Renovated, Floor: 2nd, 2 Bedrooms 1 Kitchen(s), 1 Bathroom(s), 1 WC, Heating: Centr ...                        ",6.043956044
